timestamp,GLOBAL_POSITION_INT.time_boot_ms,GLOBAL_POSITION_INT.lat,GLOBAL_POSITION_INT.lon,GLOBAL_POSITION_INT.alt,GLOBAL_POSITION_INT.relative_alt,GLOBAL_POSITION_INT.vx,GLOBAL_POSITION_INT.vy,GLOBAL_POSITION_INT.vz,GLOBAL_POSITION_INT.hdg
1437196035.30202389,212435,-352080719,1490434879,1420,1420,-6,-8,0,31624
1437196035.62951183,212636,-352080723,1490434877,1420,1420,-5,-8,0,31623
1437196036.03734398,213038,-352080722,1490434881,1400,1400,-5,-8,0,31622
1437196036.32027197,213440,-352080734,1490434882,1390,1390,-5,-8,0,31621
1437196036.56239200,213842,-352080734,1490434885,1400,1400,-4,-8,0,31620
1437196036.91258788,214223,-352080748,1490434883,1410,1410,-4,-8,0,31620
1437196037.22466803,214624,-352080772,1490434884,1400,1400,-3,-8,-1,31619
1437196037.46376395,214825,-352080782,1490434882,1410,1410,-3,-8,0,31617
1437196037.80706000,215227,-352080783,1490434878,1400,1400,-3,-8,0,31617
1437196038.06291986,215629,-352080776,1490434877,1410,1410,-3,-8,0,31615
1437196038.47114801,215830,-352080778,1490434878,1420,1420,-3,-8,0,31615
1437196038.72142386,216232,-352080781,1490434885,1410,1410,-3,-8,0,31614
1437196039.14440393,216633,-352080790,1490434889,1420,1420,-3,-8,0,31612
1437196039.55771589,216834,-352080797,1490434894,1430,1430,-2,-8,0,31610
1437196039.97165203,217034,-352080809,1490434897,1440,1440,-2,-8,0,31609
1437196040.43199205,217436,-352080825,1490434902,1440,1440,-3,-8,0,31609
1437196040.74419594,217637,-352080817,1490434903,1440,1440,-2,-8,0,31608
